user_id,user_name,days_since_signup,sessions_last_7d,sessions_last_30d,avg_session_minutes,models_used_count,api_calls_last_30d,tokens_consumed_last_30d,tools_used_count,failed_requests_rate,support_tickets_last_90d,plan_tier,payment_failures_last_90d,feature_adoption_score,nps_score,last_active_days_ago,weekend_usage_ratio,engagement_trend,spend_usd_last_30d,days_until_renewal,agent_runs_last_30d,ide_plugin_sessions_last_30d,seat_utilization
user_00754,Sam Garcia,169,3,17,24.9,5,714,144692,9,0.1548,2,pro,1,0.469,7.5,19,0.633,0.7466,112.58,346,38,20,0.479
user_00760,Jordan Patel,645,9,26,26.9,6,936,449353,8,0.2055,4,starter,1,0.3814,4.1,29,0.1699,1.3547,0.0,203,16,15,0.3609
user_00764,Quinn Davis,681,4,19,39.3,6,222,24157,8,0.1427,2,free,0,0.5388,8.5,11,0.1162,0.804,0.0,92,31,21,0.5047
user_00769,Casey Patel,751,5,24,16.2,4,674,181600,3,0.2469,5,pro,2,0.3676,6.5,33,0.331,0.8772,93.56,0,11,4,0.4204
user_00791,Jordan Brown,85,12,35,39.1,8,391,153200,8,0.1608,1,starter,0,0.5054,8.8,15,0.1689,1.3455,34.56,256,32,30,0.6397
user_00820,Alex Davis,712,0,21,27.0,8,900,355095,10,0.1484,3,enterprise,1,0.543,8.0,16,0.0976,0.0,636.62,251,44,21,0.7505
user_00823,Quinn Wilson,741,8,26,25.0,6,691,333265,6,0.2274,3,pro,1,0.3933,6.6,27,0.2642,1.2294,70.36,315,40,11,0.6335
user_00854,Morgan Brown,330,7,29,21.6,6,1074,549248,6,0.1823,3,pro,1,0.5554,6.1,24,0.3442,1.0783,113.15,103,24,22,0.4267
user_00903,Alex Patel,196,2,10,20.7,5,330,195617,5,0.2411,4,pro,2,0.2714,5.3,32,0.872,0.8518,118.64,193,26,22,0.6213
user_00937,Taylor Kim,484,1,6,23.8,3,49,7623,2,0.276,4,free,1,0.2961,7.1,37,0.1942,0.5765,0.0,63,15,12,0.3021
user_00956,Riley Kim,71,7,44,36.4,6,1142,338223,8,0.169,1,starter,0,0.4933,8.0,19,0.1822,0.6278,40.94,81,16,15,0.722
user_00962,Riley Brown,159,2,7,13.4,2,172,38582,4,0.2542,4,pro,2,0.311,6.3,31,0.2835,1.1637,98.08,263,18,23,0.3616
user_00999,Riley Kim,844,4,22,23.0,3,235,80403,6,0.2758,3,starter,2,0.4249,6.1,26,0.3376,0.7743,27.7,244,18,16,0.4552
user_01002,Quinn Lee,867,3,16,33.3,7,314,136270,7,0.15,3,starter,1,0.5094,7.4,18,0.1393,0.8053,21.7,15,20,14,0.6168
user_01008,Taylor Wilson,662,1,12,29.4,5,103,35009,9,0.1661,2,starter,0,0.5006,6.3,15,0.0722,0.2577,55.76,156,35,20,0.7196
user_01029,Taylor Kim,858,0,10,36.2,6,292,161101,7,0.0692,0,pro,0,0.6349,8.5,15,0.3245,0.0012,159.97,312,45,25,0.8252
user_01032,Quinn Davis,49,7,26,38.4,4,519,115118,7,0.1466,1,free,0,0.5765,9.1,10,0.0692,1.0496,0.0,146,32,10,0.7208
user_01034,Morgan Lee,151,12,34,32.3,7,1068,242385,10,0.1107,1,pro,1,0.5846,8.7,21,0.4782,1.5271,146.51,328,37,21,0.8128
user_01041,Quinn Kim,566,5,28,19.7,4,1154,392216,3,0.2022,2,starter,1,0.4669,7.2,22,0.2135,0.8023,29.88,364,22,19,0.5997
user_01057,Alex Wilson,563,5,21,14.4,3,790,125242,6,0.2207,2,starter,2,0.3988,6.9,24,0.3379,0.9577,28.72,27,22,29,0.4495
user_01070,Taylor Davis,284,8,24,26.6,6,1011,319986,5,0.1463,2,starter,1,0.4914,7.4,19,0.2846,1.4072,36.52,39,24,13,0.5725
user_01113,Sam Patel,543,1,6,8.0,1,161,83275,1,0.3568,5,free,2,0.1243,5.3,38,0.2699,0.5611,0.0,262,24,1,0.4021
user_01167,Alex Davis,837,3,17,22.7,5,420,71705,6,0.1914,2,free,1,0.392,8.0,20,0.4237,0.678,0.0,44,6,17,0.6917
user_01186,Casey Nguyen,680,8,22,22.2,4,350,48945,6,0.2351,3,pro,1,0.3436,5.3,30,0.2735,1.4498,96.85,336,17,2,0.3875
user_01189,Morgan Wilson,218,3,10,37.4,6,346,66855,6,0.0822,2,free,0,0.5973,9.4,14,0.0992,1.2288,0.0,45,31,7,0.7069
user_01213,Morgan Garcia,342,7,23,19.6,4,169,44330,6,0.206,3,enterprise,1,0.5318,7.9,25,0.0857,1.1485,511.88,159,40,17,0.6394
user_01227,Casey Kim,412,6,29,41.0,5,1386,345909,7,0.1519,1,free,0,0.6411,8.9,11,0.1952,0.7978,0.0,332,31,27,0.7436
user_01343,Taylor Kim,433,3,6,20.9,2,175,19591,3,0.2828,5,free,2,0.1738,3.4,33,0.1575,1.9902,0.0,36,14,15,0.3529
user_01368,Morgan Patel,77,4,18,25.6,2,372,199397,6,0.2295,3,free,1,0.1837,4.0,46,0.3707,0.8265,0.0,341,13,5,0.4658
user_01378,Jordan Nguyen,566,11,31,42.2,3,1001,94577,6,0.1282,1,starter,0,0.5746,8.1,15,0.0924,1.3892,60.72,7,26,22,0.5616
user_01384,Jordan Brown,72,9,32,34.3,5,455,214152,10,0.0777,2,free,0,0.5011,8.6,13,0.1469,1.0796,0.0,71,33,15,0.5706
user_01398,Riley Brown,139,10,26,13.9,1,503,236641,1,0.299,4,enterprise,3,0.3157,4.3,40,0.0354,1.5989,379.14,151,44,3,0.4422
user_01414,Taylor Davis,862,4,15,41.8,6,203,78791,10,0.158,2,starter,0,0.6045,10.0,13,0.1197,1.1106,35.98,2,29,22,0.7253
user_01477,Quinn Davis,701,6,23,51.1,11,688,371688,9,0.0481,0,free,0,0.7159,10.0,2,0.4295,1.1507,0.0,45,48,19,0.8148
user_01494,Alex Patel,122,4,36,48.2,5,1922,824504,5,0.1212,1,free,0,0.5601,8.5,7,0.2891,0.4695,0.0,61,40,26,0.8594
user_01495,Morgan Davis,703,1,9,19.5,5,150,36182,4,0.2516,4,pro,1,0.3898,6.9,27,0.3196,0.4481,95.54,25,16,21,0.611
user_01527,Taylor Lee,847,0,0,12.9,2,0,0,0,0.3078,5,free,2,0.0888,4.8,40,0.4686,0.0,0.0,118,0,0,0.3415
user_01532,Sam Brown,104,1,3,16.1,2,77,38946,4,0.3125,5,starter,2,0.2121,6.3,35,0.3783,0.984,46.19,58,4,15,0.3778
user_01590,Jordan Nguyen,194,12,52,33.2,7,1863,770308,8,0.1511,2,enterprise,1,0.654,7.1,14,0.1037,0.8432,658.45,241,45,28,0.8093
user_01657,Sam Davis,668,8,24,28.5,1,454,36546,4,0.2038,2,free,1,0.4012,3.8,24,0.2457,1.2452,0.0,264,12,9,0.6648
user_01732,Riley Lee,761,6,24,39.0,4,573,253811,9,0.1492,1,free,0,0.4839,8.1,11,0.1928,0.9753,0.0,216,32,21,0.6883
user_01760,Jordan Patel,108,5,19,39.6,6,467,199400,10,0.0844,2,free,0,0.4585,9.6,10,0.279,1.0981,0.0,251,39,22,0.6729
user_01798,Alex Patel,772,1,9,29.3,4,177,65324,9,0.1109,1,free,0,0.6222,7.8,10,0.3354,0.3944,0.0,14,38,14,0.6262
user_01815,Sam Kim,220,7,27,23.7,4,510,274921,7,0.1992,2,free,1,0.4679,6.6,17,0.4214,1.0009,0.0,166,27,20,0.5404
user_01824,Casey Davis,79,3,10,29.1,6,212,69966,5,0.2042,2,starter,1,0.4404,6.0,24,0.4495,1.1742,40.82,251,29,13,0.6162
user_01858,Riley Garcia,818,1,4,39.7,6,26,5266,7,0.1582,2,starter,1,0.4874,7.7,21,0.4971,0.9586,31.33,95,26,19,0.7285
user_01864,Riley Davis,838,2,11,33.5,7,438,118538,5,0.1571,3,starter,1,0.4984,7.4,17,0.4251,0.7265,25.5,160,34,15,0.5781
user_01928,Quinn Nguyen,772,4,15,38.3,4,117,65523,7,0.1486,2,pro,3,0.6077,6.0,18,0.4721,1.1189,127.6,100,41,20,0.6648
user_01934,Alex Brown,602,2,16,42.5,6,388,98290,6,0.0644,2,free,0,0.6706,8.2,9,0.2153,0.5038,0.0,82,24,29,0.7947
user_01967,Quinn Davis,705,1,4,27.3,2,141,52297,4,0.2332,3,free,1,0.4009,6.7,23,0.2534,1.0711,0.0,5,16,15,0.4571
user_01992,Taylor Wilson,555,1,13,22.5,4,256,79802,9,0.178,2,pro,1,0.4848,7.8,18,0.249,0.321,123.91,202,34,21,0.6832
user_01999,Sam Davis,883,0,14,41.8,6,262,111091,6,0.0958,2,free,0,0.6482,9.7,9,0.255,0.0,0.0,166,37,17,0.6145
user_02072,Taylor Davis,760,8,23,31.2,3,554,75853,8,0.1911,2,free,1,0.4353,6.3,19,0.3587,1.3769,0.0,320,26,20,0.6632
user_02073,Casey Patel,649,10,29,33.3,9,742,366869,8,0.1768,2,pro,1,0.5281,7.1,13,0.2261,1.4072,141.93,209,34,16,0.8266
user_02086,Quinn Davis,635,19,47,36.2,6,1826,373493,9,0.1798,2,enterprise,1,0.5406,6.2,20,0.1852,1.6184,576.32,248,52,24,0.6651
user_02118,Quinn Davis,98,10,31,42.2,8,784,417888,9,0.095,0,starter,0,0.6706,8.9,7,0.0143,1.2584,35.75,245,29,27,0.7949
user_02130,Alex Wilson,271,2,12,34.6,7,225,69033,6,0.1531,2,pro,1,0.4475,8.1,17,0.1876,0.7292,139.45,254,46,19,0.672
user_02145,Taylor Nguyen,385,8,26,29.7,4,172,37264,7,0.1882,3,pro,1,0.5531,9.6,24,0.22,1.2302,151.38,46,34,16,0.7397
user_02151,Taylor Kim,655,5,15,37.3,5,383,130854,11,0.0495,0,starter,0,0.6152,9.9,5,0.3811,1.2884,64.19,162,25,30,0.7671
user_02167,Riley Lee,734,4,16,30.6,6,314,187845,10,0.1445,1,pro,0,0.5976,8.3,14,0.2139,1.0896,120.96,3,34,15,0.6236
user_02224,Taylor Davis,423,11,36,36.2,6,1174,450845,10,0.0894,1,free,0,0.7032,9.1,8,0.1532,1.209,0.0,92,38,21,0.7065
user_02252,Jordan Wilson,440,10,34,39.0,5,1797,790638,8,0.1135,0,starter,0,0.7413,8.9,6,0.4697,1.1872,60.53,326,48,22,0.9217
user_02254,Alex Kim,563,1,3,27.8,5,20,7451,6,0.1848,2,free,1,0.3888,9.3,20,0.5434,1.0456,0.0,49,22,16,0.5997
user_02309,Jordan Patel,26,3,9,16.1,3,64,32795,3,0.3358,4,starter,2,0.2641,6.4,39,0.3089,1.3561,31.21,337,10,9,0.4732
user_02318,Morgan Kim,894,4,13,35.5,5,426,240916,5,0.1552,2,free,1,0.3824,5.9,17,0.121,1.2387,0.0,127,30,13,0.6378
user_02329,Casey Lee,339,13,37,54.1,8,840,328913,10,0.0536,0,free,0,0.6525,10.0,4,0.2505,1.4231,0.0,175,31,28,0.7564
user_02426,Quinn Brown,722,8,29,29.7,5,469,98016,7,0.117,2,free,0,0.4555,9.7,15,0.2336,1.1767,0.0,301,18,19,0.6897
user_02447,Sam Brown,246,3,6,17.9,0,91,35565,4,0.3292,5,starter,2,0.066,5.1,51,0.2284,2.0232,26.48,305,11,6,0.2618
user_02471,Taylor Davis,631,0,5,11.1,1,85,11715,5,0.3436,4,free,2,0.2141,4.3,38,0.3954,0.0,0.0,54,9,7,0.3971
user_02508,Riley Davis,613,4,13,31.8,3,367,103926,6,0.1032,1,free,0,0.5047,9.0,12,0.1563,1.1608,0.0,301,26,8,0.7254
user_02509,Morgan Lee,795,0,11,7.9,3,210,120417,2,0.303,4,starter,2,0.1889,2.9,33,0.1959,0.0,32.68,262,14,15,0.4134
user_02520,Jordan Wilson,636,6,45,40.9,9,2271,253946,11,0.1111,0,enterprise,0,0.6679,9.7,7,0.1782,0.554,720.39,127,50,34,0.8231
user_02526,Sam Lee,480,5,16,37.5,3,758,426446,11,0.0413,0,starter,1,0.7168,10.0,0,0.2457,1.2717,18.63,34,52,19,0.7693
user_02534,Alex Brown,768,6,14,44.7,8,634,244955,9,0.1262,0,free,0,0.6868,8.1,7,0.2545,1.6914,0.0,276,31,23,0.7764
user_02561,Jordan Nguyen,520,5,28,33.7,2,1313,749719,5,0.143,1,free,0,0.5394,6.7,12,0.4057,0.7154,0.0,260,30,19,0.5983
user_02620,Taylor Patel,868,6,39,41.0,7,795,224497,9,0.0782,1,pro,0,0.7844,10.0,5,0.2325,0.6444,150.96,185,37,24,0.9176
user_02622,Sam Garcia,541,5,18,41.9,6,217,71663,9,0.0925,0,starter,0,0.5999,8.8,7,0.225,1.1556,47.13,193,40,24,0.7646
user_02671,Jordan Brown,750,13,42,28.0,8,2155,679891,10,0.0777,2,pro,1,0.6085,8.0,13,0.113,1.1817,150.33,154,41,20,0.6715
user_02708,Morgan Patel,499,4,16,14.6,4,461,98487,3,0.2489,4,enterprise,3,0.2979,4.9,31,0.2143,1.0264,464.84,303,20,7,0.4301
user_02745,Riley Wilson,699,10,34,20.6,6,763,361159,9,0.162,4,enterprise,1,0.474,6.9,30,0.0301,1.1544,600.56,94,39,29,0.5888
user_02747,Casey Brown,452,0,1,23.1,2,27,5060,0,0.2553,3,free,1,0.3479,5.5,26,0.28,0.0,0.0,349,16,10,0.4346
user_02793,Riley Lee,328,2,24,28.5,5,781,193705,6,0.1566,3,free,1,0.5315,6.8,28,0.327,0.4226,0.0,29,27,12,0.7558
user_02829,Quinn Wilson,648,6,26,28.2,5,181,35329,6,0.1872,2,pro,1,0.429,5.2,22,0.394,0.8983,98.51,131,27,13,0.695
user_02842,Morgan Kim,863,2,18,15.6,4,221,99764,5,0.2532,3,free,1,0.3296,6.3,25,0.1129,0.4533,0.0,146,23,12,0.4425
user_02859,Sam Lee,50,2,14,34.1,6,408,176568,6,0.1465,1,free,0,0.5168,6.8,11,0.2325,0.5352,0.0,271,29,24,0.651
user_02892,Casey Nguyen,578,2,8,25.2,6,90,40567,8,0.1402,2,free,1,0.434,7.3,19,0.2036,0.9568,0.0,342,16,6,0.5587
user_02903,Jordan Davis,385,1,3,14.1,7,35,14686,4,0.3076,4,pro,2,0.2639,5.0,34,0.518,1.1685,74.0,123,20,12,0.3865
user_02946,Quinn Garcia,528,2,16,15.0,6,277,24169,2,0.286,4,starter,2,0.2961,4.1,37,0.0648,0.4698,38.59,250,11,11,0.4002
user_02994,Quinn Brown,619,2,7,25.6,5,58,23639,7,0.2208,4,pro,1,0.376,6.5,34,0.6822,1.1379,94.63,294,26,11,0.5059
user_03008,Casey Garcia,515,2,6,10.9,5,28,5797,2,0.3451,6,starter,2,0.1643,5.2,40,0.0908,1.3324,0.0,280,0,7,0.3671
user_03061,Quinn Lee,245,10,29,17.3,6,626,193376,5,0.239,3,starter,1,0.3696,5.9,24,0.2094,1.324,0.84,329,26,9,0.5616
user_03063,Sam Lee,419,8,42,32.3,5,1223,677883,7,0.2386,3,enterprise,1,0.4383,5.3,30,0.1092,0.714,548.94,219,40,18,0.6375
user_03112,Alex Davis,463,3,13,33.8,7,164,78343,7,0.118,1,free,0,0.4736,8.3,19,0.3303,0.8724,0.0,342,29,12,0.6028
user_03122,Taylor Nguyen,129,4,15,4.6,4,105,35534,4,0.356,5,pro,2,0.1537,3.0,45,0.3307,1.1454,58.37,156,8,7,0.2959
user_03156,Alex Kim,589,6,25,43.7,8,803,355208,10,0.099,2,starter,0,0.5581,8.6,7,0.0508,0.9475,21.89,314,31,26,0.6651
user_03193,Sam Garcia,227,9,34,35.4,6,1422,458141,9,0.1346,0,starter,0,0.5585,8.4,8,0.0809,1.1189,38.12,351,35,28,0.668
user_03207,Alex Patel,306,5,16,6.1,3,164,89950,6,0.3252,5,pro,2,0.1078,1.8,44,0.1635,1.2894,82.73,150,22,6,0.3546
user_03213,Casey Kim,563,8,31,42.6,9,1135,438513,10,0.1136,1,pro,0,0.6186,8.2,13,0.1723,1.0414,119.38,14,37,23,0.7335
user_03221,Quinn Nguyen,833,7,33,19.6,7,418,162938,5,0.2024,5,enterprise,1,0.4513,6.0,34,0.7099,0.7939,551.83,84,28,19,0.5522
user_03324,Casey Kim,884,8,15,22.4,1,76,9325,1,0.3085,5,starter,2,0.1962,3.1,40,0.1006,2.177,27.69,66,7,6,0.375
user_03375,Taylor Wilson,734,6,34,43.5,9,1451,364895,9,0.0961,0,starter,0,0.6012,6.5,4,0.3333,0.6593,36.83,10,43,20,0.6737
user_03412,Sam Garcia,112,6,22,20.9,6,463,63265,5,0.1891,2,starter,1,0.4229,7.6,23,0.1804,1.128,22.36,87,31,13,0.4396
user_03440,Taylor Nguyen,380,1,8,17.7,4,130,16210,3,0.2816,3,pro,2,0.3442,2.6,30,0.1203,0.4275,102.06,252,37,15,0.5708
user_03456,Alex Brown,752,2,12,33.6,3,557,166453,7,0.1607,1,free,0,0.5085,9.1,14,0.3291,0.7099,0.0,353,40,26,0.5672
user_03459,Quinn Brown,416,6,20,30.6,5,796,297125,8,0.2099,2,starter,2,0.4141,5.6,24,0.5323,1.1532,26.6,140,16,8,0.5789
user_03490,Taylor Kim,349,9,25,26.1,3,812,127264,8,0.1642,1,free,0,0.5085,8.0,19,0.1683,1.3941,0.0,309,35,23,0.5955
user_03493,Casey Garcia,186,9,28,34.9,7,851,189569,9,0.144,1,free,0,0.5272,9.2,15,0.4049,1.2865,0.0,110,34,3,0.6798
user_03504,Sam Wilson,833,0,0,34.3,3,0,0,9,0.1321,1,free,0,0.5379,9.0,13,0.2292,0.0001,0.0,222,33,18,0.6827
user_03558,Casey Lee,384,6,21,29.2,4,465,142580,6,0.1613,1,free,0,0.5466,6.6,18,0.205,1.0912,0.0,44,38,13,0.6255
user_03572,Taylor Nguyen,355,3,21,38.3,5,315,39198,7,0.134,1,free,0,0.4761,8.3,15,0.1989,0.5231,0.0,235,26,23,0.6391
user_03574,Alex Patel,158,1,2,9.5,2,17,8354,2,0.2608,5,starter,2,0.236,6.1,35,0.5244,0.9972,27.79,76,17,10,0.4092
user_03576,Casey Wilson,794,0,3,22.0,2,82,16883,5,0.2188,4,free,1,0.3525,7.3,30,0.2426,0.0541,0.0,288,6,5,0.437
user_03600,Alex Kim,347,8,27,35.7,5,1059,581636,7,0.1367,1,free,0,0.4664,5.9,13,0.2669,1.1373,0.0,131,23,13,0.5639
user_03604,Taylor Brown,405,7,12,17.4,1,230,133787,4,0.2384,3,starter,1,0.3225,6.9,30,0.0941,2.3309,35.2,337,14,15,0.5377
user_03610,Sam Brown,206,3,10,15.5,0,250,24763,2,0.3283,4,starter,2,0.2654,5.7,37,0.1303,1.1853,0.0,271,5,7,0.4035
user_03635,Sam Brown,664,5,20,41.8,3,1025,435223,5,0.1467,2,free,0,0.4793,8.0,11,0.3788,0.9383,0.0,363,44,15,0.6796
user_03674,Sam Davis,343,3,12,14.4,4,174,88383,5,0.265,5,pro,2,0.4199,4.9,32,0.317,1.1125,80.02,348,22,14,0.4703
user_03681,Casey Wilson,614,0,6,32.6,5,197,59101,6,0.231,3,starter,1,0.2695,7.7,27,0.2208,0.0049,16.52,300,29,14,0.5432
user_03682,Jordan Brown,751,8,55,32.5,9,1217,454793,8,0.1071,0,enterprise,1,0.75,7.9,8,0.2035,0.6538,722.16,344,58,29,0.7464
user_03706,Quinn Lee,639,2,6,47.6,7,66,31048,8,0.0796,1,starter,0,0.7556,8.3,13,0.1975,1.411,33.65,184,42,26,0.7835
user_03714,Casey Brown,98,3,10,39.2,6,173,52786,9,0.1277,1,free,0,0.5447,7.3,29,0.4587,1.2794,0.0,122,37,18,0.6059
user_03738,Quinn Wilson,458,4,27,37.2,9,931,439984,7,0.0549,0,free,0,0.7729,10.0,2,0.0188,0.6633,0.0,325,26,24,0.8781
user_03752,Jordan Brown,447,1,6,24.8,2,237,114956,5,0.1928,3,starter,1,0.3422,6.9,22,0.2179,0.7172,12.69,94,18,25,0.4468
user_03775,Jordan Patel,897,0,6,16.0,3,95,53321,1,0.2734,5,free,2,0.2076,4.1,36,0.2566,0.0,0.0,294,30,0,0.4559
user_03785,Sam Garcia,16,3,10,24.2,3,326,159234,5,0.2177,2,starter,1,0.3507,6.3,21,0.3416,1.2657,51.44,166,31,13,0.5179
user_03796,Jordan Wilson,355,7,36,20.8,3,995,353940,4,0.2825,3,pro,1,0.3706,5.3,35,0.4717,0.7423,81.57,4,39,17,0.5345
user_03815,Riley Patel,574,3,12,29.9,4,428,59935,6,0.1766,1,starter,0,0.5352,9.1,16,0.3788,0.953,41.62,226,40,23,0.5937
user_03852,Morgan Kim,853,10,32,32.8,8,1202,547111,9,0.0831,1,pro,0,0.7109,8.4,8,0.3502,1.2707,157.31,353,54,30,0.7526
user_03859,Alex Wilson,421,4,21,39.3,4,465,118265,7,0.1916,2,starter,1,0.4737,4.9,21,0.4544,0.8118,36.0,192,22,11,0.632
user_03868,Jordan Garcia,656,0,7,29.4,5,136,48164,7,0.121,2,free,1,0.4564,6.3,18,0.2108,0.059,0.0,353,39,21,0.5663
user_03875,Sam Davis,249,1,18,39.6,7,802,96096,6,0.2033,2,enterprise,1,0.5499,8.1,17,0.2063,0.1917,614.89,229,26,23,0.6155
user_03913,Morgan Davis,746,0,9,17.2,2,49,16534,2,0.2842,4,free,2,0.2174,4.1,36,0.3734,0.0,0.0,96,3,4,0.4401
user_03925,Alex Garcia,352,10,31,18.7,2,345,32112,9,0.2639,3,pro,1,0.4033,7.1,30,0.2032,1.2948,95.57,49,27,21,0.3955
user_03969,Jordan Patel,432,8,21,30.0,4,742,248736,6,0.1783,2,starter,1,0.5303,8.1,17,0.1702,1.5336,18.9,205,37,23,0.722
user_03982,Riley Garcia,607,2,6,15.7,2,58,27776,1,0.2794,4,free,2,0.1846,5.8,33,0.2939,1.3909,0.0,129,32,9,0.2463
user_03993,Casey Davis,618,5,14,13.5,5,176,18045,4,0.2744,3,pro,1,0.3539,6.4,29,0.112,1.4378,80.35,232,21,10,0.4676
user_04010,Alex Patel,634,5,21,26.0,5,496,138579,4,0.1812,2,starter,3,0.4346,10.0,19,0.5406,0.8976,40.45,220,27,13,0.5276
user_04069,Taylor Kim,149,7,25,1.9,2,310,65991,4,0.2801,5,pro,2,0.2386,5.5,31,0.5015,1.093,86.43,326,17,13,0.5767
user_04098,Sam Wilson,598,5,19,32.4,10,457,163499,11,0.0758,1,pro,0,0.6296,8.5,9,0.1333,1.0576,144.67,250,64,25,0.7293
user_04119,Quinn Garcia,669,9,50,29.2,11,1422,835670,8,0.1377,1,enterprise,0,0.6319,5.6,12,0.5242,0.7306,707.19,81,43,23,0.7711
user_04135,Casey Wilson,446,2,13,24.3,2,72,10710,7,0.2543,3,pro,1,0.3478,6.2,27,0.231,0.6417,118.57,79,28,20,0.596
user_04157,Alex Wilson,543,4,15,20.8,2,349,178993,1,0.2671,3,free,1,0.202,6.1,30,0.1957,1.0529,0.0,220,9,17,0.3788
user_04163,Riley Patel,676,1,0,19.1,1,0,0,2,0.3462,4,free,2,0.221,5.6,34,0.4624,0.9778,0.0,134,15,3,0.2925
user_04189,Sam Patel,111,2,20,22.4,5,872,96666,7,0.1721,4,free,1,0.4982,6.0,18,0.1816,0.4496,0.0,152,20,14,0.5243
